STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DLY-CLDD-BASE45,DLY-CLDD-BASE45_ATTRIBUTES,DLY-CLDD-BASE50,DLY-CLDD-BASE50_ATTRIBUTES,DLY-CLDD-BASE55,DLY-CLDD-BASE55_ATTRIBUTES,DLY-CLDD-BASE57,DLY-CLDD-BASE57_ATTRIBUTES,DLY-CLDD-BASE60,DLY-CLDD-BASE60_ATTRIBUTES,DLY-CLDD-BASE70,DLY-CLDD-BASE70_ATTRIBUTES,DLY-CLDD-BASE72,DLY-CLDD-BASE72_ATTRIBUTES,DLY-CLDD-NORMAL,DLY-CLDD-NORMAL_ATTRIBUTES,DLY-DUTR-NORMAL,DLY-DUTR-NORMAL_ATTRIBUTES,DLY-DUTR-STDDEV,DLY-DUTR-STDDEV_ATTRIBUTES,DLY-GRDD-BASE40,DLY-GRDD-BASE40_ATTRIBUTES,DLY-GRDD-BASE45,DLY-GRDD-BASE45_ATTRIBUTES,DLY-GRDD-BASE50,DLY-GRDD-BASE50_ATTRIBUTES,DLY-GRDD-BASE55,DLY-GRDD-BASE55_ATTRIBUTES,DLY-GRDD-BASE57,DLY-GRDD-BASE57_ATTRIBUTES,DLY-GRDD-BASE60,DLY-GRDD-BASE60_ATTRIBUTES,DLY-GRDD-BASE65,DLY-GRDD-BASE65_ATTRIBUTES,DLY-GRDD-BASE70,DLY-GRDD-BASE70_ATTRIBUTES,DLY-GRDD-BASE72,DLY-GRDD-BASE72_ATTRIBUTES,DLY-GRDD-TB4886,DLY-GRDD-TB4886_ATTRIBUTES,DLY-GRDD-TB5086,DLY-GRDD-TB5086_ATTRIBUTES,DLY-HTDD-BASE40,DLY-HTDD-BASE40_ATTRIBUTES,DLY-HTDD-BASE45,DLY-HTDD-BASE45_ATTRIBUTES,DLY-HTDD-BASE50,DLY-HTDD-BASE50_ATTRIBUTES,DLY-HTDD-BASE55,DLY-HTDD-BASE55_ATTRIBUTES,DLY-HTDD-BASE57,DLY-HTDD-BASE57_ATTRIBUTES,DLY-HTDD-BASE60,DLY-HTDD-BASE60_ATTRIBUTES,DLY-HTDD-NORMAL,DLY-HTDD-NORMAL_ATTRIBUTES,DLY-TAVG-NORMAL,DLY-TAVG-NORMAL_ATTRIBUTES,DLY-TAVG-STDDEV,DLY-TAVG-STDDEV_ATTRIBUTES,DLY-TMAX-NORMAL,DLY-TMAX-NORMAL_ATTRIBUTES,DLY-TMAX-STDDEV,DLY-TMAX-STDDEV_ATTRIBUTES,DLY-TMIN-NORMAL,DLY-TMIN-NORMAL_ATTRIBUTES,DLY-TMIN-STDDEV,DLY-TMIN-STDDEV_ATTRIBUTES
USC00105414,1-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,176,R,92,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,215,R,89,R,303,R,65,R,127,R,127,R
USC00105414,2-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,93,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,216,R,89,R,303,R,64,R,128,R,127,R
USC00105414,3-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,93,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,216,R,89,R,304,R,63,R,129,R,127,R
USC00105414,4-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,93,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,217,R,88,R,304,R,63,R,129,R,127,R
USC00105414,5-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,93,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,218,R,88,R,305,R,63,R,130,R,127,R
USC00105414,6-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,94,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,218,R,88,R,306,R,62,R,131,R,127,R
USC00105414,7-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,94,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,219,R,87,R,307,R,61,R,132,R,127,R
USC00105414,8-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,95,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,220,R,87,R,308,R,61,R,133,R,127,R
USC00105414,9-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,175,R,95,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,221,R,87,R,309,R,60,R,133,R,127,R
USC00105414,10-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,176,R,95,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,222,R,86,R,310,R,60,R,134,R,127,R
